Date,Market,Keyword,Average.Position,CPC,CTR (%),Impressions,Cost
20130214,US-Market,cheap insurance life term,0,0,0.00,0,0
20130214,US-Market,home loans refinancing,1,7.63,3.80,445,130.41
20130214,US-Market,consolidate college loans,0,0,0.00,0,0
20130214,US-Market,cheap life insurance,1,58.88,3.30,931,1806.63
20130214,US-Market,vioxx law suit,0,0,0.00,0,0
20130214,US-Market,student loan refinance,1,11.66,2.20,244,62
20130214,US-Market,car hire alicante spain,0,0,0.00,0,0
20130214,US-Market,refinancing my home,1,3.24,3.50,180,20.69
20130214,US-Market,criminal dallas lawyer,0,0,0.00,0,0
20130214,US-Market,line of credit home equity,0,0,0.00,0,0
20130214,US-Market,litigation vioxx,0,0,0.00,0,0
20130214,US-Market,at and t phones,1,6.79,5.50,74,28
20130214,US-Market,criminal defense attorney los angeles,1,62.72,3.40,89,189.79
20130214,US-Market,commodity online trading,0,0,0.00,0,0
20130214,US-Market,home equity rates,1,6.18,2.10,180,23.81
20130214,US-Market,law lemon mass,0,0,0.00,0,0
20130214,US-Market,equity home,0,0,0.00,0,0
20130214,US-Market,arizona law lemon,0,0,0.00,0,0
20130214,US-Market,child molestation attorney,0,0,0.00,0,0
20130214,US-Market,home line of credit,1,15.53,2.50,179,70.65
20130214,US-Market,alicante car rental spain,0,0,0.00,0,0
20130214,US-Market,attorney defense federal,0,0,0.00,0,0
20130214,US-Market,san diego criminal attorney,0,0,0.00,0,0
20130214,US-Market,injury lawyer new york,1,168.04,3.00,165,836.97
20130214,US-Market,attorney injury new personal york,0,0,0.00,0,0
20130214,US-Market,at and t mobile,1,0.73,4.20,89,2.72
20130214,US-Market,pleural mesothelioma,1,8.31,1.80,74,11.02
20130214,US-Market,augmentation breast diego san,0,0,0.00,0,0
20130214,US-Market,home equity poor credit,0,0,0.00,0,0
20130214,US-Market,health insurance temporary,0,0,0.00,0,0
20130214,US-Market,compensation mesothelioma,0,0,0.00,0,0
20130214,US-Market,21st century insurance,1,247.36,2.40,4088,24765.32
20130214,US-Market,cheap insurance medical,1,7.07,3.20,341,77.04
20130214,US-Market,angeles criminal lawyer los,0,0,0.00,0,0
20130214,US-Market,low cost term life insurance,0,0,0.00,0,0
20130214,US-Market,home refinance loans,1,12.69,3.60,691,318.29
20130214,US-Market,eloan,1,2.59,2.50,89,5.8
20130214,US-Market,cheap life assurance,0,0,0.00,0,0
20130214,US-Market,125 equity loan,0,0,0.00,0,0
20130214,US-Market,anti spam exchange,1,4.04,3.50,89,12.55
20130214,US-Market,credit equity home line,0,0,0.00,0,0
20130214,US-Market,att go phone,1,6.7,4.10,2002,543.53
20130214,US-Market,dui florida lawyer,0,0,0.00,0,0
20130214,US-Market,hair removal new york,1,21.01,1.90,89,35.82
20130214,US-Market,merchant account international,0,0,0.00,0,0
20130214,US-Market,vioxx class action,0,0,0.00,0,0
20130214,US-Market,125 home equity loan,1,10.17,1.60,89,14.4
20130214,US-Market,life insurance quote online,1,71.38,2.80,1075,2182.55
20130214,US-Market,consolidation loan,1,18.44,2.90,2208,1175.1
20130214,US-Market,equity line of credit,1,27.37,3.20,500,438.03
20130214,US-Market,carolina law lemon north,0,0,0.00,0,0
20130214,US-Market,equity rates,0,0,0.00,0,0
20130214,US-Market,direct home insurance line,0,0,0.00,0,0
20130214,US-Market,angeles attorney los tax,0,0,0.00,0,0
20130214,US-Market,credit home line,0,0,0.00,0,0
20130214,US-Market,auto insurances,1,25.3,6.10,335,517.54
20130214,US-Market,debtfreedirect,0,0,0.00,0,0
20130214,US-Market,refinance comparison,0,0,0.00,0,0
20130214,US-Market,acid reflux treatment,1,5.33,3.40,1700,308.42
20130214,US-Market,bad credit mortgage refinance,1,29.89,2.10,215,136.44
20130214,US-Market,college loan refinance,0,0,0.00,0,0
20130214,US-Market,Google Adsense,0,0,0.00,0,0
20130214,US-Market,Adsense Tips,0,0,0.00,0,0
20130214,US-Market,Adsense Hacking,0,0,0.00,0,0
20130214,US-Market,Adsense High paying keywords,0,0,0.00,0,0
20130214,US-Market,Adsense tricks and tips,0,0,0.00,0,0
20130214,US-Market,Adsense Tools,0,0,0.00,0,0
20130214,US-Market,Adsense Expert,0,0,0.00,0,0
20130214,US-Market,Top paying keywords,0,0,0.00,0,0
20130214,US-Market,page rank,1,0.1,0.80,125,0.1
20130214,US-Market,link exchange,1,2.75,2.30,306,19.62
20130214,US-Market,latest,1,0.79,2.80,259,5.66
20130214,US-Market,free,1,0.74,0.60,1026347,4472.59
20130214,US-Market,hack,1,0.71,2.20,3504,55.56
20130214,US-Market,earn,1,1.72,2.00,1428,49.98
20130214,US-Market,Insurance,0,0,0.00,0,0
20130214,US-Market,auto insurance price quotes,1,32.34,4.00,90,115.87
20130214,US-Market,Loans,0,0,0.00,0,0
20130214,US-Market,consolidate graduate student loans,0,0,0.00,0,0
20130214,US-Market,Mortgage,1,8,2.30,87103,16235.93
20130214,US-Market,refinanced second mortgages,0,0,0.00,0,0
20130214,US-Market,Attorney,1,5.08,2.70,152014,21102.27
20130214,US-Market,Credit,1,4.04,4.50,50905,9269.07
20130214,US-Market,Lawyer,1,5.59,2.30,107365,13769.33
20130214,US-Market,Donate,1,4.43,1.70,17701,1322.21
20130214,US-Market,Degree,1,3.35,1.00,34836,1209.93
20130214,US-Market,Hosting,0,0,0.00,0,0
20130214,US-Market,Claim,1,1.48,2.30,4928,165.84
20130214,US-Market,Conference Call,1,25.79,3.50,8525,7729.86
20130214,US-Market,Trading,1,1.15,2.00,116952,2682.29
20130214,US-Market,Software,1,1.42,1.20,85370,1513.95
20130214,US-Market,Recovery,1,3.78,1.20,20815,957.19
20130214,US-Market,Transfer,1,3.07,1.20,22805,816.12
20130214,US-Market,Gas/Electricity,0,0,0.00,0,0
20130214,US-Market,Classes,1,4.85,1.60,12165,937.78
20130214,US-Market,Rehab,1,11.19,2.50,104679,28901.36
20130214,US-Market,Treatment,1,4.6,1.00,31311,1467.4
